Longitude,Latitude,Runoff,Precip,ET,SoilMoisture
-124.0625,41.9375,1588.55725098,2329.52075195,761.886047363,5228.50048828
-124.0625,42.0625,1894.6628418,2446.59179688,888.812011719,11776.0
-124.0625,42.1875,2309.83007812,2990.97875977,971.575927734,11976.5
-124.0625,42.3125,2054.35302734,2732.37231445,973.028991699,10812.7001953
-124.0625,42.4375,1667.2277832,2362.29052734,962.558959961,10417.0
-124.0625,42.5625,1146.60192871,2020.12915039,1040.59191895,9426.09960938
-124.0625,42.6875,1506.60412598,2355.92651367,1038.62597656,9913.10058594
-124.0625,42.8125,1478.43286133,2280.57421875,1054.43701172,10214.0996094
-124.0625,42.9375,833.17401123,1697.55822754,1054.80493164,9195.19921875
-124.0625,43.0625,656.501037598,1469.72912598,1027.79296875,8880.39941406
-124.0625,43.1875,613.906982422,1386.86816406,982.366943359,10080.5009766
-124.0625,43.3125,992.331970215,1716.47033691,985.54498291,9928.20019531
-124.0625,43.4375,915.210876465,1625.86401367,947.582946777,9880.79980469
-124.0625,43.5625,1184.75598145,1903.69470215,966.583984375,10295.5996094
-124.0625,43.6875,1260.55004883,1915.70666504,947.21307373,11223.7998047
-124.0625,43.8125,1228.96704102,1874.23388672,941.666992188,11159.9003906
-124.0625,43.9375,1285.02099609,1905.44714355,896.478027344,11340.0996094
-124.0625,44.0625,1227.15307617,1873.21813965,935.49407959,11190.9003906
-124.0625,44.1875,1489.8939209,2142.79321289,924.922058105,11560.0
-124.0625,44.3125,1557.53796387,2200.20703125,921.622924805,11571.5009766
-124.0625,44.4375,1335.47399902,1929.77734375,897.45300293,11322.3994141
-124.0625,44.5625,1105.2890625,1653.28955078,819.263977051,11294.5
-124.0625,44.6875,1161.06286621,1687.36865234,757.28503418,11536.7998047
-124.0625,44.8125,1263.22290039,1819.34631348,781.502990723,11579.2998047
-124.0625,44.9375,1470.4440918,1932.75476074,572.453979492,12373.7001953
-124.0625,45.0625,1246.5579834,1958.78564453,939.54498291,11447.7001953
-124.0625,46.3125,1232.32788086,1877.91796875,687.098022461,11159.1005859
-124.0625,46.4375,1170.82299805,1849.47167969,718.91607666,11054.0996094
-124.0625,46.5625,1008.91809082,1817.9206543,851.570007324,10606.5996094
-124.0625,46.6875,1056.38598633,1808.09997559,782.33203125,10728.2998047
-124.0625,46.8125,1224.81115723,1979.85290527,781.097106934,11856.7988281
-124.0625,46.9375,1208.89501953,1904.33618164,706.67401123,11948.1005859
-124.0625,47.0625,1206.36791992,1994.50170898,799.086914062,11731.2998047
-124.0625,47.1875,1342.50598145,2188.4765625,851.730041504,11829.6005859
-124.0625,47.3125,1648.6809082,2482.73120117,838.357971191,12203.7998047
-124.0625,47.4375,1686.3059082,2533.28466797,839.99798584,12263.8007812
-124.0625,47.5625,2346.73876953,3194.61889648,830.664978027,12875.7011719
-124.0625,47.6875,2417.49291992,3232.54150391,770.795043945,11678.5
-124.0625,47.8125,2622.86694336,3443.43505859,742.854064941,11790.6005859
-124.0625,47.9375,2816.04223633,3596.61499023,681.172973633,11980.0996094
-124.0625,48.0625,2371.70605469,3172.69555664,744.708068848,12025.6005859
-124.0625,48.1875,1258.46508789,2134.59643555,801.522033691,11618.1005859
-123.9375,39.8125,915.107055664,1564.7010498,658.282043457,4606.79931641
-123.9375,39.9375,1107.69299316,1784.4440918,681.54296875,4699.79980469
-123.9375,40.0625,1114.31994629,1788.36706543,680.937988281,4711.90039062
-123.9375,40.1875,1103.45507812,1755.85620117,660.755004883,4695.10009766
-123.9375,40.3125,1003.48693848,1671.74865723,683.46697998,4690.29980469
-123.9375,40.4375,726.526062012,1376.76696777,675.41394043,4601.69970703
-123.9375,40.5625,786.885009766,1411.0826416,648.555969238,4689.29980469
-123.9375,40.6875,809.251037598,1442.2722168,657.666015625,4708.89990234
-123.9375,40.8125,796.077026367,1439.32104492,673.183044434,4574.60009766
-123.9375,40.9375,853.468139648,1512.5838623,694.886962891,4573.09960938
-123.9375,41.0625,964.982910156,1594.92456055,652.581054688,5341.30029297
-123.9375,41.1875,969.971008301,1668.28027344,721.5,4728.89990234
-123.9375,41.3125,1281.38806152,1990.03149414,730.828063965,4978.5
-123.9375,41.4375,1323.77099609,2022.38049316,721.565917969,5008.89990234
-123.9375,41.5625,1244.16711426,1863.1282959,641.270019531,5056.0
-123.9375,41.6875,1844.4329834,2502.11889648,672.237976074,5205.0
