Index,Group,Column1,Row1,Column2,Row2,Column3,Row3
219,"Total Thermoelectric Power consumptive use, fresh, in Mgal/d",,,,,,
220,"Total Thermoelectric Power consumptive use, saline, in Mgal/d",,,,,,
221,"Total Thermoelectric Power reclaimed wastewater, in Mgal/d",,,,,,
222,"Total Thermoelectric Power self-supplied groundwater withdrawals, fresh, in Mgal/d",,,,,,
223,"Total Thermoelectric Power self-supplied groundwater withdrawals, saline, in Mgal/d",,,,,,
224,"Total Thermoelectric Power self-supplied surface-water withdrawals, fresh, in Mgal/d",,,,,,
225,"Total Thermoelectric Power self-supplied surface-water withdrawals, saline, in Mgal/d",,,,,,
226,"Total Thermoelectric Power total consumptive use, in Mgal/d",,,,,,
227,"Total Thermoelectric Power total self-supplied withdrawals plus deliveries, in Mgal/d",,,,,,
228,"Total Thermoelectric Power total self-supplied withdrawals, fresh, in Mgal/d",,,,,,
229,"Total Thermoelectric Power total self-supplied withdrawals, groundwater, in Mgal/d",,,,,,
230,"Total Thermoelectric Power total self-supplied withdrawals, saline, in Mgal/d",,,,,,
231,"Total Thermoelectric Power total self-supplied withdrawals, surface water, in Mgal/d",,,,,,
232,"Total Thermoelectric Power total self-supplied withdrawals, total, in Mgal/d",,,,,,
233,"Wastewater Treatment reclaimed wastewater released by public wastewater facilities, in Mgal/d",P,14,,,,
234,"Wastewater Treatment reclaimed wastewater released by wastewater facilities, in Mgal/d",P,14,U,35,,
235,"Wastewater Treatment returns by public wastewater facilities, in Mgal/d",P,15,,,,
